15sJ3pT7J6zefRs95SEsfBZMz8jAw1zAbh,Ransomware,CryptoLocker4
1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,Ransomware,CryptoLocker1
1KpP1YGGxPHKTLgET82JBngcsBuifp3noW,Ransomware,CryptoTorLocker2015
1382JAg5xbQv7QNwq1svDeyw6ELtNCmujG,Ransomware,DMALocker
1MfVk1utxgvGjMFV3K3CzXsDRDZznj5tey,Ransomware,Bucbi
18AVPLKGBamXtGpdT3kP2b5Dv3iBUDpjKv,Ransomware,CryptoHost
1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,Ransomware,7ev3n
15Y2TmHrxjmRFxfNUttwb9aU4DifvDpWKM,Ransomware,TeslaCrypt
12UCMcAseQK2syjQWRpnbc8tUtzxzZG9kS,Porn,Input0
15LKRRYM2k2CCSGT76rNbQmciLZJSxKXAx,Porn,Input1
18aVwkFAadCvwGBHN8vagouWBWrNEpZAaV,Porn,Input2
1E2J2DAFGToqmTxK5H8fG6V3Tp3xqSiAm4,Porn,Output
1E2J2DAFGToqmTxK5H8fG6V3Tp3xqSiAm4,Porn,PoloniexWalletCluster
1F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX,FBI_DPR,DPR1
1FfmbHfnpaZjKFvyi1okTjJJusN455paPH,FBI_DPR,DPR2
1DzM9y4fRgWqpZZCsvf5Rx4HupbE5Q5r4y,Sextortion,Sex01,Reports14
1Lughwk11SAsz54wZJ3bpGbNqGfVanMWzk,Sextortion,Sex02,Reports10
1DuDhqSWdmRxJjaRRSpa9wRH7yf9ncgw56,Sextortion,Sex03,Reports08
1EkAVVDg8Rbwwa7j9DbvHQ7VmQ4FkBdEGT,Sextortion,Sex04,Reports08
19fbsopNBC77qYTVaX6iqg3cWZAHhxD8WC,Sextortion,Sex05,Reports07
18firbfmx4KoNeM4cBhcDdXgp2Aiduo43G,Sextortion,Sex06,Reports06
1MfLPJxzyDZr33WK79BKzAqsuvFnzi9TK1,Sextortion,Sex07,Reports05
16acVRG2RdMDSmdVuve1N1bYBFu8Rr3iii,Sextortion,Sex08,Reports05
16yJ7MQWTFNjsSvAJJMkjPpnJbAsGLYhW7,Sextortion,Sex09,Reports05
18QGMXBte2fVodcq9xCwvPWiBEd98LwHwS,Sextortion,Sex10,Reports04
1DxiWwJrJFRrMiwzddx9Gfkjdk2MP5AcjA,Sextortion,Sex11,Reports04
12DA8mpQCnTB1cEHLPFU7ckP44zN5Xmgu3,Sextortion,Sex12,Reports04
13H6Nszz1xP6Xn5tDKAUVWpm97vLfcNMVi,Sextortion,Sex13,Reports03
19i2Zn4QMg5y9gDTRfLyPXaw2zY3ikPzqg,Sextortion,Sex14,Reports03
144CDUeBhcwoEUmA2B1cL5p5PqZrhJWCCt,Sextortion,Sex15,Reports03
1LEJuBuc8bt6quD3TCGeX8o1EQ29qLErCc,Sextortion,Sex16,Reports03
1Pau7aAFNZ5rvogxMnfP37zDAzoeipCqPP,Sextortion,Sex17,Reports03
14dEvzyftZjrTjXaX5XXHo65C1rdsqCw1s,Sextortion,Sex18,Reports03
1CA74qzKno94zf3xFNvQ8TKR5sBpc6bimm,Sextortion,Sex19,Reports03
1MuQXHNBcAbYyMvMsvHfnXdymeuoLAK14Z,Sextortion,Sex20,Reports03
1AerHTezypgLJHpcDNMd6mdPKJPeQWxPhD,Blackmail,Black1,DemandAmount$2500$
14i82QBptbM11siMo3i5gkv9RpMmN843X5,Blackmail,Black2,DemandAmount$3600$
17JTXjM2goxynTe19gzi48p336VmZKqoBD,Blackmail,Black3,DemandAmount$8600$
1HuPqHpdkZBSpGGL6gMCfCv4VumQvcwvQm,Blackmail,Black4,DemandAmount$8500$
19fkuKV4TgR9bHK7ioCfEJJyd74ARfhYDX,Blackmail,Black5,DemandAmount$8800$
1PmvKMqrufyv4ysmhjToDvGWdXHBWpHS6R,Blackmail,Black6,DemandAmount$15100$
15tTXnvpwmz6cEoUb8dQvmrTe4NDN1zpzY,Blackmail,Black7,DemandAmount$8100$
17qQ5q6gBETZvKihLpqa4oMZKoXCQdVi6q,Blackmail,Black8,DemandAmount$15500$
193e5vrqEooFMX6cq5DCdBRv1N7igjChY9,Blackmail,Black9,DemandAmount$9150$
1JHwenDp9A98XdjfYkHKyiE3R99Q72K9X4,ExtortionEmail,Extortion01,Reports9
1MQNUSnquwPM9eQgs7KtjDcQZBfaW7iVge,ExtortionEmail,Extortion02,Reports3
1PeMj6hcYMCu1eKUAjRq4t7N6EHwDbGyBR,ExtortionEmail,Extortion03,Reports1
17drmHLZMsCRWz48RchWfrz9Chx1osLe67,ExtortionEmail,Extortion04,Reports2
19kQT8RpsNNAM5UQ6RjRxRcHbeHhYf6SES,ExtortionEmail,Extortion05,Reports2
1LEBKnvLEZk2cUfyJ1vU5FpueakWyh4m28,ExtortionEmail,Extortion06,Reports4
1AWKTr1vq3946tyuxG7Q1mLcJum4rjnmro,ExtortionEmail,Extortion07,Reports3
1NLh41sRP8QfSkkBrps1wXQXQhyM86HQYh,ExtortionEmail,Extortion08,Reports3
129WARJw8X71na49fvhss4hRpt9TA6V7Jg,ExtortionEmail,Extortion09,Reports2
1PdRsvWnRwz7m8nViajQNjcAzgQgEiTBhx,ExtortionEmail,Extortion10,Reports2
126RbYy96H9BJZs8kCUAkx5exuiMsYSBbm,ExtortionEmail,Extortion11,Reports1
15gbv1DTTNg82qvb3cpZLLmfqXu1jJaWFE,ExtortionEmail,Extortion12,Reports1
19EdHu5QJX5mAQ3fbXnsQ6utCvXDLT4LNG,ExtortionEmail,Extortion13,Reports1
1A8Ad7VbWDqwmRY6nSHtFcTqfW2XioXNmj,ExtortionEmail,Extortion14,Reports1
1AgHpx8SbUwLqnzo8WtJYefJqMitM3PKb3,ExtortionEmail,Extortion15,Reports1
1DULdsSARR1fH6D6DV7otavbmUQka3J9uP,ExtortionEmail,Extortion16,Reports1
1DVFi6yawViqSsKHhiN81FgGxdNLLkdo7j,ExtortionEmail,Extortion17,Reports1
1EGG38yAtUPThMMU9Ni15mQ3rWHSk8L2u4,ExtortionEmail,Extortion18,Reports1
1HNxU93ZWcMJsyosNdpirrkL3mGCJLdUc3,ExtortionEmail,Extortion19,Reports1
1JsbfAMGSJnKqPHUt4ju373DWQfgpUJQzZ,ExtortionEmail,Extortion20,Reports1
1L4Vj2hJkrrwRhmfoTjmQ3xFWRP34J1iFr,ExtortionEmail,Extortion21,Reports1
1LoF9TCF8zcpWeeonp7C4427EWsXsUxKe5,ExtortionEmail,Extortion22,Reports1
1PdRsvWnRwz7m8nViajQNjcAzgQgEiTBhx,ExtortionEmail,Extortion23,Reports1
1PLrSKJmzww51A178UgGukF8bXood9ivaQ,ExtortionEmail,Extortion24,Reports1


